Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2 - [DDX46_HUMAN],21.14,1,19,19,28,0.000E0,2.432E7,0.000E0,0.000E0,2.324E6,0.000E0,0.000E0,1.566E7,2.464E6,3.921E6,1.554E7,0.000E0,0.000E0,3.996E7,0.000E0,,,,,2.84 ,0.97,1,1,,,,,,,,,2.63 ,0.97,1,1,,,,,,,,,9.49 ,4.27,4,4,2.46 ,0.97,1,1,2.72 ,0.97,1,1,9.36 ,3.69,3,4,,,,,,,,,34.11 ,18.82,16,16,,,,,1031,117.3,9.29
Q9Y5Y0,Feline leukemia virus subgroup C receptor-related protein 1 OS=Homo sapiens OX=9606 GN=FLVCR1 PE=1 SV=1 - [FLVC1_HUMAN],20.90,1,7,7,13,0.000E0,0.000E0,3.140E7,0.000E0,0.000E0,2.642E6,0.000E0,0.000E0,3.376E7,0.000E0,0.000E0,3.156E7,0.000E0,0.000E0,0.000E0,,,,,,,,,4.35 ,7.03,2,2,,,,,,,,,1.74 ,1.80,1,1,,,,,,,,,16.99 ,17.66,5,5,,,,,,,,,8.28 ,10.27,4,5,,,,,,,,,,,,,555,59.8,5.97
P50402,Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1 - [EMD_HUMAN],20.87,1,4,4,13,0.000E0,0.000E0,1.585E7,0.000E0,0.000E0,0.000E0,0.000E0,1.085E7,1.483E7,0.000E0,9.975E6,1.912E7,0.000E0,1.301E7,0.000E0,,,,,,,,,3.07 ,12.99,2,3,,,,,,,,,,,,,,,,,5.47 ,8.66,2,2,6.13 ,8.66,2,2,,,,,2.38 ,4.72,1,1,6.22 ,16.93,3,3,,,,,1.78 ,8.66,2,2,,,,,254,29.0,5.50
Q00341,Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2 - [VIGLN_HUMAN],20.74,3,22,22,53,0.000E0,2.973E7,8.748E6,0.000E0,0.000E0,1.555E6,0.000E0,1.712E7,5.101E6,0.000E0,2.602E7,6.232E6,0.000E0,4.720E7,3.774E5,,,,,6.31 ,1.66,2,2,7.11 ,4.02,4,5,,,,,,,,,1.69 ,0.95,1,1,,,,,22.00 ,7.73,10,11,3.19 ,3.08,3,4,,,,,23.85 ,5.91,7,8,5.25 ,2.92,3,3,,,,,47.13 ,17.67,17,18,0.00 ,0.55,1,1,1268,141.4,6.87
P06454,Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2 - [PTMA_HUMAN],20.72,1,2,2,7,0.000E0,9.544E6,0.000E0,0.000E0,4.322E6,0.000E0,0.000E0,1.219E7,0.000E0,0.000E0,1.038E7,0.000E0,0.000E0,1.794E7,0.000E0,,,,,10.42 ,20.72,2,3,,,,,,,,,2.72 ,11.71,1,1,,,,,,,,,3.73 ,11.71,1,1,,,,,,,,,3.09 ,11.71,1,1,,,,,,,,,2.15 ,11.71,1,1,,,,,111,12.2,3.78
P07305,Histone H1.0 OS=Homo sapiens OX=9606 GN=H1F0 PE=1 SV=3 - [H10_HUMAN],20.62,1,4,4,81,1.347E8,3.484E8,4.707E7,3.612E8,1.007E8,8.192E7,3.333E8,3.026E8,1.126E8,3.774E8,2.586E8,1.107E8,1.064E8,2.808E8,0.000E0,21.04 ,9.79,2,7,16.33 ,16.49,3,5,26.09 ,13.92,3,10,16.28 ,16.49,3,6,9.13 ,11.86,2,3,5.89 ,11.86,2,2,12.07 ,9.79,2,4,10.20 ,9.79,2,4,20.11 ,9.79,2,11,10.22 ,16.49,3,4,10.10 ,9.79,2,4,28.38 ,13.92,3,12,5.57 ,5.15,1,3,24.83 ,16.49,3,6,,,,,194,20.9,10.84
Q16181,Septin-7 OS=Homo sapiens OX=9606 GN=SEPT7 PE=1 SV=2 - [SEPT7_HUMAN],20.59,1,8,8,29,0.000E0,0.000E0,1.368E7,0.000E0,0.000E0,2.967E6,0.000E0,0.000E0,2.397E7,0.000E0,0.000E0,2.179E7,0.000E0,0.000E0,0.000E0,,,,,,,,,19.36 ,18.76,7,10,,,,,,,,,2.14 ,2.75,1,1,,,,,,,,,25.16 ,17.62,7,11,,,,,,,,,17.12 ,9.84,4,7,,,,,,,,,,,,,437,50.6,8.63
Q13765,Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1 - [NACA_HUMAN],20.47,2,4,4,4,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.304E7,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08 ,20.47,4,4,,,,,215,23.4,4.56
Q5T6F2,Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1 - [UBAP2_HUMAN],20.38,1,14,14,28,0.000E0,5.149E7,0.000E0,0.000E0,1.619E7,0.000E0,0.000E0,3.701E7,0.000E0,0.000E0,2.714E7,0.000E0,0.000E0,9.209E7,0.000E0,,,,,8.94 ,2.50,2,4,,,,,,,,,5.95 ,1.97,2,2,,,,,,,,,15.05 ,3.49,3,5,,,,,,,,,8.48 ,5.54,4,4,,,,,,,,,28.31 ,18.50,12,13,,,,,1119,117.0,7.34
O75128,Protein cordon-bleu OS=Homo sapiens OX=9606 GN=COBL PE=1 SV=2 - [COBL_HUMAN],20.38,1,21,21,89,0.000E0,0.000E0,2.744E7,0.000E0,2.291E6,3.361E6,0.000E0,5.061E6,3.843E7,0.000E0,6.302E6,3.029E7,0.000E0,1.736E7,3.225E6,,,,,,,,,53.38 ,13.32,14,25,,,,,1.86 ,1.19,1,1,2.10 ,1.90,2,2,,,,,2.01 ,1.19,1,1,56.29 ,17.45,17,26,,,,,2.94 ,1.19,1,1,66.95 ,16.49,16,26,,,,,11.34 ,6.66,6,6,2.16 ,0.71,1,1,1261,135.5,7.75
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3 - [SPTN1_HUMAN]",20.23,1,42,42,113,0.000E0,9.522E6,4.049E7,0.000E0,0.000E0,1.115E7,0.000E0,8.110E6,3.172E7,0.000E0,1.086E7,1.613E7,0.000E0,3.470E7,5.043E6,,,,,7.62 ,1.05,3,3,95.06 ,10.03,22,33,,,,,,,,,9.71 ,1.58,4,4,,,,,11.01 ,2.14,5,5,62.04 ,8.33,19,25,,,,,14.14 ,2.47,6,6,41.35 ,5.78,13,16,,,,,35.25 ,11.04,20,20,2.53 ,0.32,1,1,2472,284.4,5.35
Q99426,Tubulin-folding cofactor B OS=Homo sapiens OX=9606 GN=TBCB PE=1 SV=2 - [TBCB_HUMAN],20.08,1,4,4,11,0.000E0,8.921E6,4.300E6,0.000E0,0.000E0,4.170E6,0.000E0,1.095E6,3.468E6,0.000E0,0.000E0,3.433E6,0.000E0,4.132E6,0.000E0,,,,,2.60 ,4.51,1,1,3.67 ,8.20,2,2,,,,,,,,,2.60 ,4.51,1,1,,,,,2.10 ,3.69,1,1,4.11 ,8.20,2,2,,,,,,,,,6.06 ,12.70,3,3,,,,,0.00 ,7.38,1,1,,,,,244,27.3,5.15
P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],20.00,4,30,30,60,0.000E0,1.485E7,5.745E6,0.000E0,2.535E6,2.778E6,0.000E0,1.614E7,5.315E6,0.000E0,2.290E7,3.398E6,0.000E0,3.776E7,0.000E0,,,,,15.69 ,2.35,4,5,5.75 ,3.57,6,7,,,,,1.92 ,0.51,1,1,1.94 ,0.51,1,1,,,,,16.66 ,3.47,6,6,2.61 ,1.53,2,2,,,,,34.09 ,5.26,9,11,0.00 ,0.77,1,1,,,,,63.07 ,17.60,25,26,,,,,1960,226.4,5.60
P49790,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2 - [NU153_HUMAN],19.93,1,21,21,29,0.000E0,8.824E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,9.255E6,0.000E0,0.000E0,8.125E6,0.000E0,0.000E0,3.554E7,0.000E0,,,,,3.06 ,0.75,1,1,,,,,,,,,,,,,,,,,,,,,12.92 ,3.66,5,6,,,,,,,,,8.58 ,2.51,3,3,,,,,,,,,51.03 ,18.64,19,19,,,,,1475,153.8,8.73
P35658,Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2 - [NU214_HUMAN],19.81,1,30,30,62,0.000E0,7.951E7,2.612E6,0.000E0,1.957E7,3.517E6,0.000E0,3.870E7,0.000E0,0.000E0,4.419E7,4.722E6,0.000E0,8.062E7,0.000E0,,,,,19.83 ,4.69,8,9,0.00 ,0.62,1,1,,,,,3.54 ,0.62,1,1,2.60 ,0.62,1,1,,,,,29.15 ,6.22,10,12,,,,,,,,,29.96 ,5.41,8,10,0.00 ,0.33,1,1,,,,,66.64 ,18.13,25,27,,,,,2090,213.5,7.47
P62891,60S ribosomal protein L39 OS=Homo sapiens OX=9606 GN=RPL39 PE=1 SV=2 - [RL39_HUMAN],19.61,2,1,1,6,0.000E0,1.861E8,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,9.101E7,0.000E0,,,,,2.26 ,19.61,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09 ,19.61,1,4,,,,,51,6.4,12.56
P28715,DNA repair protein complementing XP-G cells OS=Homo sapiens OX=9606 GN=ERCC5 PE=1 SV=3 - [ERCC5_HUMAN],19.48,1,18,18,38,0.000E0,3.965E7,0.000E0,0.000E0,1.149E7,0.000E0,0.000E0,3.165E7,0.000E0,0.000E0,4.104E7,0.000E0,0.000E0,7.246E7,0.000E0,,,,,11.52 ,3.12,3,3,,,,,,,,,3.34 ,1.10,1,1,,,,,,,,,25.83 ,8.01,8,10,,,,,,,,,22.60 ,6.32,6,6,,,,,,,,,53.02 ,18.80,17,18,,,,,1186,133.0,5.22
Q13573,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1 - [SNW1_HUMAN],19.40,1,8,8,16,0.000E0,1.268E7,0.000E0,0.000E0,3.846E6,9.035E5,0.000E0,1.750E7,0.000E0,0.000E0,1.661E7,1.796E6,0.000E0,4.272E7,0.000E0,,,,,2.52 ,1.49,1,1,,,,,,,,,2.51 ,1.87,1,1,0.00 ,1.87,1,1,,,,,10.81 ,7.46,4,4,,,,,,,,,6.21 ,3.36,2,2,2.32 ,1.87,1,1,,,,,21.04 ,16.60,6,6,,,,,536,61.5,9.52
Q01995,Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4 - [TAGL_HUMAN],19.40,1,4,4,6,0.000E0,0.000E0,1.451E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.489E6,0.000E0,0.000E0,1.817E7,0.000E0,0.000E0,0.000E0,,,,,,,,,3.02 ,10.95,2,2,,,,,,,,,,,,,,,,,,,,,0.00 ,3.98,1,1,,,,,,,,,4.71 ,15.42,3,3,,,,,,,,,,,,,201,22.6,8.84
Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2 - [PAIRB_HUMAN],19.36,1,6,6,22,0.000E0,2.213E6,0.000E0,0.000E0,1.006E7,1.958E6,0.000E0,6.731E6,2.266E6,0.000E0,7.105E6,2.930E6,0.000E0,3.551E7,0.000E0,,,,,2.82 ,2.70,1,1,,,,,,,,,5.40 ,3.92,1,1,3.62 ,3.92,1,1,,,,,18.80 ,13.48,4,7,2.26 ,2.70,1,1,,,,,13.92 ,11.03,3,4,2.43 ,2.70,1,1,,,,,7.20 ,16.91,5,6,,,,,408,44.9,8.65
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN],19.26,1,5,5,25,0.000E0,1.819E7,7.125E6,0.000E0,3.368E6,9.176E6,0.000E0,2.220E7,1.137E7,0.000E0,1.964E7,9.306E6,0.000E0,3.529E7,0.000E0,,,,,7.45 ,9.92,2,3,1.60 ,7.08,2,3,,,,,2.66 ,2.83,1,1,2.73 ,2.83,1,1,,,,,5.34 ,2.83,1,2,6.51 ,7.08,2,3,,,,,5.44 ,2.83,1,2,4.32 ,7.08,2,3,,,,,17.26 ,19.26,5,7,,,,,353,37.4,8.95
O00151,PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4 - [PDLI1_HUMAN],19.15,1,5,5,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.394E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.931E7,1.690E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45 ,3.04,1,1,,,,,,,,,,,,,,,,,,,,,7.30 ,16.11,4,4,2.02 ,3.04,1,1,329,36.0,7.02
Q14244,Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1 - [MAP7_HUMAN],19.09,1,9,9,19,0.000E0,1.886E7,2.583E6,0.000E0,1.017E7,3.334E6,0.000E0,1.505E7,3.240E6,0.000E0,1.381E7,3.625E6,0.000E0,2.674E7,0.000E0,,,,,3.23 ,1.74,1,1,1.67 ,1.74,1,1,,,,,3.15 ,1.74,1,1,1.69 ,1.74,1,1,,,,,8.41 ,4.01,3,4,2.01 ,1.74,1,1,,,,,5.24 ,2.80,2,2,2.18 ,1.74,1,1,,,,,12.17 ,16.96,7,7,,,,,749,84.0,9.61
P20020,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=3 - [AT2B1_HUMAN],19.00,3,10,20,63,0.000E0,0.000E0,6.040E7,0.000E0,5.596E5,0.000E0,0.000E0,0.000E0,5.331E7,0.000E0,0.000E0,5.753E7,0.000E0,0.000E0,0.000E0,,,,,,,,,71.94 ,15.90,16,26,,,,,1.84 ,1.27,1,1,,,,,,,,,,,,,45.46 ,12.40,13,18,,,,,,,,,49.66 ,9.78,10,18,,,,,,,,,,,,,1258,138.7,6.04
Q8TD16,Protein bicaudal D homolog 2 OS=Homo sapiens OX=9606 GN=BICD2 PE=1 SV=1 - [BICD2_HUMAN],18.93,2,14,14,29,0.000E0,0.000E0,8.493E6,0.000E0,0.000E0,0.000E0,0.000E0,1.165E7,7.088E6,0.000E0,1.174E7,5.092E6,0.000E0,2.792E7,0.000E0,,,,,,,,,6.91 ,6.92,5,7,,,,,,,,,,,,,,,,,9.54 ,6.80,4,4,4.06 ,4.98,4,4,,,,,6.27 ,2.79,2,2,5.31 ,2.67,2,2,,,,,27.46 ,14.93,10,10,,,,,824,93.5,5.44
Q9UBC2,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens OX=9606 GN=EPS15L1 PE=1 SV=1 - [EP15R_HUMAN],18.75,1,13,13,46,0.000E0,1.282E7,2.271E7,0.000E0,0.000E0,2.946E7,0.000E0,6.805E6,3.192E7,0.000E0,6.460E6,3.686E7,0.000E0,1.455E7,0.000E0,,,,,3.31 ,1.16,1,1,21.09 ,8.22,6,10,,,,,,,,,3.22 ,1.16,1,1,,,,,2.77 ,1.27,1,1,29.30 ,14.58,10,12,,,,,2.52 ,1.27,1,1,34.50 ,13.89,10,16,,,,,3.25 ,7.52,4,4,,,,,864,94.2,5.11
Q9H444,Charged multivesicular body protein 4b OS=Homo sapiens OX=9606 GN=CHMP4B PE=1 SV=1 - [CHM4B_HUMAN],18.75,2,5,5,26,0.000E0,2.118E7,2.817E7,0.000E0,0.000E0,7.915E6,0.000E0,1.235E7,1.896E7,0.000E0,1.757E7,4.327E7,0.000E0,2.815E7,0.000E0,,,,,6.19 ,11.16,2,2,14.68 ,11.16,2,6,,,,,,,,,2.42 ,4.02,1,1,,,,,6.29 ,14.29,3,3,15.62 ,15.18,3,6,,,,,4.14 ,6.25,1,1,10.00 ,11.16,2,4,,,,,6.21 ,15.63,3,3,,,,,224,24.9,4.82
Q5T3I0,G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2 - [GPTC4_HUMAN],18.61,1,8,8,23,0.000E0,1.200E7,7.091E6,0.000E0,2.272E6,2.170E6,0.000E0,1.033E7,0.000E0,2.012E6,8.281E6,0.000E0,0.000E0,2.515E7,0.000E0,,,,,14.41 ,10.99,4,5,3.53 ,5.38,2,2,,,,,1.92 ,3.14,1,1,0.00 ,1.79,1,1,,,,,12.97 ,10.76,4,4,,,,,2.11 ,2.02,1,1,10.19 ,8.97,3,3,,,,,,,,,10.56 ,13.45,6,6,,,,,446,50.4,9.63
Q8WWM7,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2 - [ATX2L_HUMAN],18.60,1,15,15,28,0.000E0,1.781E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.909E7,0.000E0,0.000E0,2.097E7,0.000E0,0.000E0,6.549E7,0.000E0,,,,,4.31 ,1.67,2,2,,,,,,,,,,,,,,,,,,,,,10.40 ,4.56,5,5,,,,,,,,,13.12 ,4.00,4,5,,,,,,,,,33.62 ,17.58,13,16,,,,,1075,113.3,8.59
P49757,Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2 - [NUMB_HUMAN],18.59,1,6,10,32,0.000E0,0.000E0,3.347E7,0.000E0,0.000E0,1.823E7,0.000E0,0.000E0,5.941E7,0.000E0,0.000E0,6.059E7,0.000E0,0.000E0,0.000E0,,,,,,,,,15.31 ,10.29,6,9,,,,,,,,,1.88 ,1.69,1,1,,,,,,,,,30.12 ,15.36,8,15,,,,,,,,,17.86 ,7.83,5,7,,,,,,,,,,,,,651,70.8,8.51
Q9UGI8,Testin OS=Homo sapiens OX=9606 GN=TES PE=1 SV=1 - [TES_HUMAN],18.53,1,8,8,37,0.000E0,4.489E6,1.131E7,0.000E0,0.000E0,0.000E0,0.000E0,5.520E6,1.293E7,0.000E0,3.750E6,2.110E7,0.000E0,1.444E7,0.000E0,,,,,1.94 ,2.14,1,1,16.86 ,18.05,7,8,,,,,,,,,,,,,,,,,5.75 ,8.08,3,3,17.20 ,15.68,7,9,,,,,4.86 ,7.36,3,3,22.18 ,18.05,7,8,,,,,8.59 ,10.93,5,5,,,,,421,48.0,7.68
Q8NFJ5,Retinoic acid-induced protein 3 OS=Homo sapiens OX=9606 GN=GPRC5A PE=1 SV=2 - [RAI3_HUMAN],18.49,1,3,3,11,0.000E0,0.000E0,5.643E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,5.418E7,0.000E0,0.000E0,5.990E7,0.000E0,1.059E7,0.000E0,,,,,,,,,16.92 ,18.49,3,4,,,,,,,,,,,,,,,,,,,,,11.70 ,8.68,2,3,,,,,,,,,11.79 ,8.68,2,3,,,,,2.87 ,3.64,1,1,,,,,357,40.2,8.15
Q15847,Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1 - [ADIRF_HUMAN],18.42,1,1,1,1,0.000E0,0.000E0,3.991E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,1.90 ,18.42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,7.8,5.31
A6NM03,Olfactory receptor 2AG2 OS=Homo sapiens OX=9606 GN=OR2AG2 PE=3 SV=1 - [O2AG2_HUMAN],18.35,1,1,1,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.368E5,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,18.35,1,2,,,,,,,,,316,35.2,8.51
Q9H098,Protein FAM107B OS=Homo sapiens OX=9606 GN=FAM107B PE=1 SV=1 - [F107B_HUMAN],18.32,1,2,2,7,0.000E0,0.000E0,3.091E6,0.000E0,0.000E0,4.034E6,0.000E0,2.900E6,5.034E6,0.000E0,0.000E0,6.369E6,0.000E0,0.000E0,0.000E0,,,,,0.00 ,8.40,1,1,2.79 ,18.32,2,2,,,,,,,,,2.56 ,8.40,1,1,,,,,0.00 ,8.40,1,1,3.36 ,8.40,1,1,,,,,,,,,3.12 ,8.40,1,1,,,,,,,,,,,,,131,15.5,8.29
A8MQ03,Cysteine-rich tail protein 1 OS=Homo sapiens OX=9606 GN=CYSRT1 PE=1 SV=1 - [CRTP1_HUMAN],18.06,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,4.769E6,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,18.06,1,1,,,,,,,,,,,,,144,15.3,7.06
P35321,Cornifin-A OS=Homo sapiens OX=9606 GN=SPRR1A PE=1 SV=2 - [SPR1A_HUMAN],17.98,2,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.292E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37 ,17.98,1,1,,,,,,,,,,,,,,,,,,,,,89,9.9,8.48
Q9Y2W1,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2 - [TR150_HUMAN],17.70,1,13,13,24,0.000E0,4.193E7,0.000E0,0.000E0,1.176E7,0.000E0,0.000E0,3.012E7,0.000E0,0.000E0,2.506E7,0.000E0,0.000E0,5.485E7,0.000E0,,,,,6.70 ,2.72,2,2,,,,,,,,,6.28 ,2.72,2,2,,,,,,,,,18.77 ,8.38,6,6,,,,,,,,,10.27 ,3.98,3,3,,,,,,,,,27.85 ,14.45,11,11,,,,,955,108.6,10.15
Q15942,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1 - [ZYX_HUMAN],17.66,1,7,7,31,0.000E0,1.923E7,9.261E6,0.000E0,7.708E6,1.909E7,0.000E0,1.361E7,1.206E7,0.000E0,1.017E7,2.807E7,0.000E0,2.194E7,0.000E0,,,,,7.13 ,4.02,2,2,7.85 ,5.94,3,3,,,,,3.32 ,2.10,1,1,3.93 ,2.10,1,1,,,,,9.48 ,4.02,2,3,11.98 ,8.57,4,5,,,,,8.51 ,4.02,2,3,13.85 ,17.66,7,8,,,,,17.22 ,10.49,5,5,,,,,572,61.2,6.67
Q13435,Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2 - [SF3B2_HUMAN],17.54,1,12,12,20,0.000E0,9.050E6,0.000E0,0.000E0,3.078E6,0.000E0,0.000E0,1.064E7,0.000E0,0.000E0,2.624E6,0.000E0,0.000E0,2.173E7,0.000E0,,,,,9.39 ,4.80,5,5,,,,,,,,,1.94 ,0.89,1,1,,,,,,,,,8.96 ,4.25,4,4,,,,,,,,,3.01 ,1.01,1,1,,,,,,,,,11.55 ,13.85,8,9,,,,,895,100.2,5.67
Q15366,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1 - [PCBP2_HUMAN],17.53,3,2,5,42,0.000E0,2.931E7,1.992E7,0.000E0,0.000E0,0.000E0,0.000E0,2.223E7,2.820E7,0.000E0,2.156E7,2.109E7,0.000E0,4.706E7,0.000E0,,,,,8.80 ,5.48,1,2,22.50 ,17.53,5,9,,,,,,,,,,,,,,,,,13.25 ,11.51,3,4,24.92 ,15.34,4,9,,,,,14.37 ,11.51,3,4,24.57 ,11.51,3,10,,,,,14.48 ,11.51,3,4,,,,,365,38.6,6.79
P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1 - [DDX5_HUMAN],17.43,1,7,12,43,0.000E0,1.533E7,1.222E7,0.000E0,0.000E0,2.898E6,0.000E0,1.179E7,4.359E7,4.075E6,1.400E7,1.347E7,1.383E6,3.374E7,0.000E0,,,,,5.62 ,3.09,2,2,5.47 ,3.42,2,3,,,,,,,,,2.26 ,1.47,1,1,,,,,11.34 ,4.40,3,4,25.55 ,13.84,9,10,2.70 ,1.47,1,1,11.22 ,4.40,3,4,13.14 ,5.70,4,5,4.49 ,2.77,2,2,27.51 ,14.82,10,11,,,,,614,69.1,8.92
O14641,Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens OX=9606 GN=DVL2 PE=1 SV=1 - [DVL2_HUMAN],17.26,1,6,8,34,3.133E6,1.996E7,9.139E6,0.000E0,1.054E7,2.464E7,0.000E0,4.744E7,2.976E7,9.980E6,5.539E7,2.660E7,4.367E6,4.760E7,0.000E0,2.54 ,1.63,1,1,3.76 ,1.63,1,1,7.51 ,4.89,3,5,,,,,4.45 ,3.80,2,3,5.72 ,3.80,2,2,,,,,12.99 ,5.16,3,4,3.94 ,3.80,2,3,3.52 ,1.63,1,1,12.92 ,3.80,2,4,6.83 ,3.26,2,2,2.07 ,1.63,1,1,24.10 ,14.27,6,7,,,,,736,78.9,6.02
Q04637,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4 - [IF4G1_HUMAN],17.07,1,23,27,43,0.000E0,1.402E7,0.000E0,0.000E0,2.610E5,0.000E0,0.000E0,8.992E6,0.000E0,0.000E0,1.755E7,2.436E6,0.000E0,4.414E7,0.000E0,,,,,10.22 ,2.69,4,5,,,,,,,,,0.00 ,0.69,1,1,,,,,,,,,11.48 ,3.00,5,6,,,,,,,,,5.59 ,1.69,2,2,1.86 ,0.69,1,1,,,,,64.08 ,16.20,25,28,,,,,1599,175.4,5.33
Q9P0K7,Ankycorbin OS=Homo sapiens OX=9606 GN=RAI14 PE=1 SV=2 - [RAI14_HUMAN],17.04,2,15,15,39,0.000E0,0.000E0,1.340E7,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.417E7,0.000E0,0.000E0,1.388E7,0.000E0,0.000E0,0.000E0,,,,,,,,,21.01 ,10.31,9,11,,,,,,,,,,,,,,,,,,,,,27.46 ,13.27,12,16,,,,,,,,,29.81 ,9.90,9,12,,,,,,,,,,,,,980,110.0,6.21
