Visible?,Starred?,Identified Proteins (2330),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,T-Test (p-value): (p < 0.05),Fold Change by Category,Quantitative Profile,Taxonomy,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area
TRUE,Empty,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,Q8NC51,SERBP1,45 kDa,,0.04,1.9,"1st low, 2nd high",unknown,3.34E+08,6.37E+08,5.94E+08,1.16E+09,1.24E+09,2.00E+09,1.60E+09,1.92E+09,9.20E+08,1.00E+09,1.48E+09,8.22E+08,1.04E+09,1.22E+09,1.49E+09
TRUE,Empty,HMG box transcription factor BBX OS=Homo sapiens OX=9606 GN=BBX PE=1 SV=1,Q8WY36,BBX,105 kDa,,0.093,1.6,[],unknown,5.81E+08,4.03E+08,4.17E+08,3.95E+08,7.56E+08,1.18E+09,3.64E+08,7.72E+08,8.27E+08,8.16E+08,1.28E+09,3.74E+08,4.95E+08,4.68E+08,3.39E+08
TRUE,Empty,Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1,P48444,ARCN1,57 kDa,,0.47,0.8,[],unknown,4.83E+08,7.41E+08,6.60E+08,1.68E+08,6.18E+08,5.17E+08,7.36E+07,2.94E+08,6.17E+08,6.20E+08,6.20E+08,5.38E+08,9.13E+08,7.32E+08,6.72E+08
TRUE,Empty,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,P51610,HCFC1,209 kDa,,0.49,1.1,[],unknown,2.27E+08,2.96E+08,4.39E+08,3.42E+08,2.62E+08,3.67E+08,3.82E+08,3.82E+08,3.11E+08,2.78E+08,4.43E+08,7.08E+08,4.25E+08,5.20E+08,6.17E+08
TRUE,Empty,Lamin-B receptor OS=Homo sapiens OX=9606 GN=LBR PE=1 SV=2,Q14739,LBR,71 kDa,,0.00069,2.1,"1st low, 2nd high",unknown,5.30E+08,7.06E+08,3.73E+08,6.50E+08,9.35E+08,1.50E+09,1.59E+09,1.02E+09,1.31E+09,1.39E+09,7.28E+08,6.62E+08,1.43E+09,1.22E+09,9.41E+08
TRUE,Empty,Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,Q96AC1,FERMT2,78 kDa,TRUE,0.092,2,[],unknown,3.18E+08,3.12E+08,1.88E+07,1.42E+08,4.40E+08,6.37E+08,2.69E+08,2.33E+08,8.28E+08,5.57E+08,6.84E+08,3.28E+08,8.56E+08,9.30E+08,3.43E+08
TRUE,Empty,"Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4",P06737,PYGL,97 kDa,TRUE,0.0045,2.8,"1st low, 2nd high",unknown,2.21E+08,1.12E+08,1.46E+08,0,3.34E+08,5.17E+08,3.35E+08,3.54E+08,5.90E+08,4.61E+08,7.75E+08,2.01E+08,2.84E+08,8.32E+08,3.62E+08
TRUE,Empty,La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1,Q4G0J3,LARP7,67 kDa,,0.18,0.5,[],unknown,2.25E+09,4.49E+08,6.32E+08,8.59E+08,5.88E+08,5.66E+08,4.76E+08,6.52E+08,3.24E+08,2.53E+08,6.82E+08,4.53E+08,3.54E+08,3.31E+08,4.65E+08
TRUE,Empty,Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=4,Q9H9B4,SFXN1,36 kDa,TRUE,0.022,1.7,"1st low, 2nd high",unknown,4.17E+08,5.91E+08,3.94E+08,3.84E+08,7.08E+08,5.06E+08,7.77E+08,9.17E+08,1.19E+09,9.32E+08,8.64E+08,4.51E+08,8.98E+08,8.12E+08,1.15E+09
TRUE,Empty,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,Q7L0Y3,TRMT10C,47 kDa,,0.0069,3.1,"1st low, 2nd high",unknown,1.08E+08,1.90E+08,2.20E+08,2.33E+07,3.86E+08,5.39E+08,3.64E+08,7.87E+08,4.10E+08,7.79E+08,8.01E+08,3.05E+08,4.52E+08,1.17E+09,7.19E+08
TRUE,Empty,Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AFZ PE=1 SV=2,P0C0S5 (+1),H2AFZ,14 kDa,TRUE,0.14,1.3,[],unknown,1.51E+10,1.21E+10,1.48E+10,2.25E+10,1.69E+10,1.88E+10,2.45E+10,2.51E+10,2.19E+10,1.35E+10,2.04E+10,2.01E+10,2.04E+10,2.37E+10,2.18E+10
TRUE,Empty,Rab-like protein 6 OS=Homo sapiens OX=9606 GN=RABL6 PE=1 SV=2,Q3YEC7,RABL6,80 kDa,,0.22,0.8,[],unknown,9.44E+08,7.02E+08,7.29E+08,5.25E+08,1.05E+09,6.45E+08,4.82E+08,7.40E+08,5.07E+08,8.18E+08,3.64E+08,7.21E+08,5.74E+08,5.68E+08,3.97E+08
TRUE,Empty,Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3,Q8TEQ6,GEMIN5,169 kDa,,0.42,0.8,[],unknown,4.69E+08,3.57E+08,3.00E+08,8.26E+07,4.47E+08,1.83E+08,3.34E+08,1.84E+08,3.19E+08,3.11E+08,7.35E+08,4.14E+08,3.71E+08,5.79E+08,5.58E+08
TRUE,Empty,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2,Q9BQ52,ELAC2,92 kDa,,0.0075,3.2,"1st low, 2nd high",unknown,2.41E+08,2.04E+08,2.55E+08,0,3.53E+08,1.02E+09,4.98E+08,7.59E+08,7.38E+08,3.44E+08,7.97E+08,6.53E+08,7.58E+08,6.17E+08,8.04E+08
TRUE,Empty,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,O00541,PES1,68 kDa,,0.0075,3.5,"1st low, 2nd high",unknown,1.12E+08,5.81E+07,2.22E+08,3.36E+07,3.92E+08,5.76E+08,3.24E+08,8.07E+08,7.46E+08,4.01E+08,4.10E+08,4.51E+08,9.13E+08,5.21E+08,5.17E+08
TRUE,Empty,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2,Q53GS9,USP39,65 kDa,,0.16,1.9,[],unknown,2.95E+08,4.12E+08,4.48E+08,0,6.92E+08,8.17E+08,2.56E+08,3.00E+08,9.83E+08,1.07E+09,7.56E+08,5.43E+08,1.04E+09,7.02E+08,7.00E+08
TRUE,Empty,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",P49748,ACADVL,70 kDa,,0.00031,4.2,"1st low, 2nd high",unknown,2.39E+08,2.31E+08,1.01E+08,2.17E+07,2.34E+08,4.92E+08,7.20E+08,5.58E+08,9.04E+08,7.86E+08,9.16E+08,5.83E+08,9.58E+08,1.09E+09,9.63E+08
TRUE,Empty,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,P16989,YBX3,40 kDa,TRUE,0.0053,1.7,"1st low, 2nd high",unknown,6.76E+08,6.43E+08,8.19E+08,1.17E+09,1.01E+09,1.20E+09,1.59E+09,1.75E+09,1.57E+09,1.14E+09,1.47E+09,1.24E+09,1.18E+09,1.33E+09,1.72E+09
TRUE,Empty,"Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=SHMT2 PE=1 SV=3",P34897,SHMT2,56 kDa,TRUE,0.096,1.5,[],unknown,7.13E+08,4.44E+08,5.60E+08,3.56E+08,8.32E+08,8.20E+08,6.30E+08,1.14E+09,1.10E+09,5.79E+08,9.16E+08,7.28E+08,8.24E+08,7.23E+08,1.05E+09
TRUE,Empty,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,P62195,PSMC5,46 kDa,TRUE,0.12,1.8,[],unknown,2.37E+08,1.62E+08,2.31E+08,2.14E+08,4.13E+08,6.54E+08,1.32E+08,2.62E+08,7.00E+08,5.28E+08,1.09E+09,2.09E+08,6.71E+08,5.25E+08,1.03E+09
TRUE,Empty,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,P62910,RPL32,16 kDa,,0.087,1.3,[],unknown,2.91E+09,1.77E+09,2.39E+09,2.02E+09,2.69E+09,4.02E+09,3.42E+09,3.46E+09,1.83E+09,3.17E+09,4.27E+09,4.14E+09,5.78E+09,4.18E+09,5.82E+09
TRUE,Empty,Pachytene checkpoint protein 2 homolog OS=Homo sapiens OX=9606 GN=TRIP13 PE=1 SV=2,Q15645,TRIP13,49 kDa,,0.073,1.5,[],unknown,8.36E+08,8.47E+08,7.90E+08,2.54E+08,1.17E+09,1.08E+09,9.81E+08,1.22E+09,9.56E+08,1.56E+09,6.86E+08,3.89E+08,7.41E+08,6.63E+08,6.32E+08
TRUE,Empty,Septin-6 OS=Homo sapiens OX=9606 GN=SEPT6 PE=1 SV=4,Q14141,6-Sep,50 kDa,TRUE,0.019,0.5,"1st high, 2nd low",unknown,9.28E+08,1.11E+09,9.37E+08,2.99E+08,9.94E+08,4.10E+08,2.09E+08,6.37E+08,3.57E+08,3.45E+08,6.70E+08,6.60E+08,6.70E+08,6.23E+08,7.53E+08
TRUE,Empty,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1",Q6UB35,MTHFD1L,106 kDa,,0.69,0.9,[],unknown,5.76E+08,5.19E+08,8.43E+08,3.36E+08,6.61E+08,3.56E+08,4.45E+08,1.02E+09,5.23E+08,2.66E+08,4.24E+08,7.96E+08,8.81E+08,8.43E+08,1.07E+09
TRUE,Empty,3'-5' RNA helicase YTHDC2 OS=Homo sapiens OX=9606 GN=YTHDC2 PE=1 SV=2,Q9H6S0,YTHDC2,160 kDa,,0.82,1.1,[],unknown,9.70E+07,3.12E+08,1.91E+08,0,4.81E+08,2.58E+08,2.40E+07,4.71E+07,5.50E+08,3.54E+08,4.54E+08,2.52E+08,5.93E+08,8.94E+08,1.41E+08
TRUE,Empty,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=3",P22695,UQCRC2,48 kDa,,0.096,1.5,[],unknown,5.16E+08,6.99E+08,7.42E+08,2.59E+08,9.70E+08,8.04E+08,6.28E+08,1.20E+09,1.01E+09,9.98E+08,1.47E+09,5.55E+08,1.19E+09,9.65E+08,1.10E+09
TRUE,Empty,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2,Q8IYB3,SRRM1,102 kDa,,0.00066,2.8,"1st low, 2nd high",unknown,5.64E+08,6.34E+08,1.05E+09,2.42E+08,1.15E+09,1.79E+09,1.68E+09,2.45E+09,1.79E+09,2.53E+09,1.45E+09,1.88E+09,2.04E+09,1.60E+09,1.90E+09
TRUE,Empty,DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,P27695,APEX1,36 kDa,,0.7,0.9,[],unknown,1.04E+09,7.04E+08,8.70E+08,2.94E+08,8.82E+08,8.57E+08,3.97E+08,9.17E+08,7.37E+08,5.64E+08,1.59E+09,7.32E+08,1.08E+09,1.19E+09,8.18E+08
TRUE,Empty,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3,Q9NSD9,FARSB,66 kDa,,0.78,1.1,[],unknown,3.80E+08,5.44E+08,4.71E+08,8.29E+07,5.89E+08,4.96E+08,5.08E+08,5.64E+08,3.62E+08,2.86E+08,1.23E+09,8.61E+08,1.29E+09,1.02E+09,4.32E+08
TRUE,Empty,DNA mismatch repair protein Msh2 OS=Homo sapiens OX=9606 GN=MSH2 PE=1 SV=1,P43246,MSH2,105 kDa,,0.36,0.8,[],unknown,4.34E+08,2.00E+08,2.93E+08,2.17E+08,3.50E+08,1.31E+08,1.89E+08,2.74E+08,3.46E+08,2.79E+08,7.18E+07,1.53E+08,2.25E+08,1.75E+08,3.22E+08
TRUE,Empty,Bifunctional coenzyme A synthase OS=Homo sapiens OX=9606 GN=COASY PE=1 SV=4,Q13057,COASY,62 kDa,,0.027,2.1,"1st low, 2nd high",unknown,3.18E+08,4.39E+08,4.74E+08,2.41E+08,7.78E+08,9.83E+08,4.91E+08,7.50E+08,1.10E+09,1.45E+09,1.29E+09,7.24E+08,1.23E+09,1.05E+09,8.10E+08
TRUE,Empty,Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,Q9Y490,TLN1,270 kDa,TRUE,0.039,1.8,"1st low, 2nd high",unknown,9.35E+07,2.45E+08,1.51E+08,5.05E+07,2.81E+08,3.28E+08,3.51E+08,2.24E+08,2.16E+08,3.88E+08,2.76E+08,1.66E+08,3.12E+08,2.57E+08,2.61E+08
TRUE,Empty,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,P06753,TPM3,33 kDa,TRUE,0.019,2.3,"1st low, 2nd high",unknown,1.01E+08,4.57E+08,1.11E+09,6.80E+08,1.95E+09,2.01E+09,1.54E+09,1.48E+09,2.49E+09,2.35E+09,1.96E+09,1.48E+09,2.20E+09,2.05E+09,1.98E+09
TRUE,Empty,ATP-binding cassette sub-family E member 1 OS=Homo sapiens OX=9606 GN=ABCE1 PE=1 SV=1,P61221,ABCE1,67 kDa,,0.051,1.9,[],unknown,2.83E+08,2.70E+08,4.51E+08,2.50E+08,8.49E+08,7.82E+08,5.48E+08,5.19E+08,1.07E+09,1.09E+09,1.32E+09,3.38E+08,1.07E+09,8.57E+08,7.53E+08
TRUE,Empty,DNA-directed RNA polymerase I subunit RPA43 OS=Homo sapiens OX=9606 GN=TWISTNB PE=1 SV=1,Q3B726,TWISTNB,37 kDa,,0.12,0.7,[],unknown,8.62E+08,7.57E+08,7.31E+08,5.66E+08,9.19E+08,7.21E+08,6.74E+08,7.63E+08,4.09E+08,2.82E+08,3.86E+08,6.63E+08,7.09E+08,6.21E+08,7.23E+08
TRUE,Empty,Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,Q9Y266,NUDC,38 kDa,,0.0085,2,"1st low, 2nd high",unknown,2.95E+08,5.99E+08,5.76E+08,4.07E+08,5.18E+08,7.36E+08,1.02E+09,1.33E+09,6.25E+08,1.06E+09,1.08E+09,1.30E+09,7.97E+08,8.37E+08,8.82E+08
TRUE,Empty,Pseudouridylate synthase 7 homolog OS=Homo sapiens OX=9606 GN=PUS7 PE=1 SV=2,Q96PZ0,PUS7,75 kDa,,0.0092,2.6,"1st low, 2nd high",unknown,9.55E+07,1.39E+08,1.67E+08,6.89E+07,2.73E+08,3.16E+08,2.03E+08,4.56E+08,3.88E+08,5.42E+08,6.73E+08,3.49E+08,5.17E+08,3.97E+08,6.05E+08
TRUE,Empty,Kinesin-like protein KIF23 OS=Homo sapiens OX=9606 GN=KIF23 PE=1 SV=3,Q02241,KIF23,110 kDa,,0.84,1.1,[],unknown,3.03E+08,4.56E+08,5.84E+08,1.05E+08,5.33E+08,3.16E+08,1.12E+08,2.13E+08,1.05E+09,4.79E+08,4.95E+08,2.53E+08,3.77E+09,2.19E+09,9.20E+08
TRUE,Empty,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,O15143,ARPC1B,41 kDa,,0.00072,2.1,"1st low, 2nd high",unknown,4.18E+08,4.99E+08,5.19E+08,5.95E+08,7.09E+08,1.36E+09,9.65E+08,9.57E+08,1.41E+09,1.02E+09,1.11E+09,8.68E+08,1.06E+09,6.24E+08,7.50E+08
TRUE,Empty,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,Q16576,RBBP7,48 kDa,TRUE,0.45,1.2,[],unknown,1.40E+09,1.28E+09,1.36E+09,6.96E+08,1.25E+09,8.42E+08,1.26E+09,1.98E+09,9.56E+08,2.09E+09,1.64E+09,1.18E+09,1.38E+09,2.18E+09,7.63E+08
TRUE,Empty,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=CMTR1 PE=1 SV=1,Q8N1G2,CMTR1,95 kDa,TRUE,0.55,1.1,[],unknown,1.58E+08,2.59E+08,2.73E+08,1.11E+08,3.66E+08,3.19E+08,1.43E+08,2.93E+08,2.89E+08,2.96E+08,4.47E+08,2.73E+08,4.92E+08,3.17E+08,5.10E+08
TRUE,Empty,Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 GN=SLC25A10 PE=1 SV=2,Q9UBX3,SLC25A10,31 kDa,,0.03,1.8,"1st low, 2nd high",unknown,4.09E+08,4.01E+08,7.07E+08,2.36E+08,9.47E+08,9.21E+08,6.22E+08,1.00E+09,1.18E+09,1.05E+09,8.86E+08,5.76E+08,1.43E+09,1.14E+09,1.12E+09
TRUE,Empty,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",P30044,PRDX5,22 kDa,,0.34,1.3,[],unknown,1.13E+09,9.70E+08,1.07E+09,1.52E+08,1.39E+09,1.32E+09,9.58E+08,1.60E+09,1.09E+09,9.62E+08,1.93E+09,1.36E+09,1.71E+09,1.39E+09,1.08E+09
TRUE,Empty,ATP-dependent RNA helicase DHX8 OS=Homo sapiens OX=9606 GN=DHX8 PE=1 SV=1,Q14562,DHX8,139 kDa,TRUE,0.06,2,[],unknown,4.67E+08,3.08E+08,4.81E+08,1.06E+08,4.04E+08,6.72E+08,7.74E+08,9.78E+08,9.03E+08,1.70E+08,8.56E+08,6.21E+08,9.14E+08,7.63E+08,7.47E+08
TRUE,Empty,Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,P08240,SRPRA,70 kDa,,0.017,0.4,"1st high, 2nd low",unknown,4.00E+08,3.26E+08,3.85E+08,7.92E+08,4.49E+08,1.58E+08,1.72E+08,1.36E+08,3.60E+08,1.10E+08,5.17E+08,3.94E+08,6.98E+08,6.99E+08,3.47E+08
TRUE,Empty,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",P11177,PDHB,39 kDa,,0.17,0.5,[],unknown,5.99E+08,8.12E+08,3.69E+08,1.74E+08,1.46E+09,4.35E+08,1.65E+08,3.57E+08,4.83E+08,2.61E+08,1.03E+09,7.33E+08,7.44E+08,1.02E+09,1.36E+09
TRUE,Empty,Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3,P12429,ANXA3,36 kDa,,0.001,2.4,"1st low, 2nd high",unknown,4.21E+08,4.03E+08,7.56E+08,1.86E+08,4.92E+08,9.58E+08,1.10E+09,1.36E+09,8.53E+08,1.17E+09,8.98E+08,4.65E+08,9.30E+08,9.75E+08,7.71E+08
TRUE,Empty,Serpin B5 OS=Homo sapiens OX=9606 GN=SERPINB5 PE=1 SV=2,P36952,SERPINB5,42 kDa,,0.46,1.1,[],unknown,1.12E+09,1.13E+09,9.94E+08,5.97E+08,1.39E+09,1.38E+09,7.74E+08,1.32E+09,1.57E+09,9.48E+08,9.60E+08,2.83E+08,5.02E+08,3.68E+08,5.20E+08
TRUE,Empty,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3,P62873,GNB1,37 kDa,TRUE,0.22,0.8,[],unknown,2.34E+09,2.13E+09,1.60E+09,1.45E+09,1.45E+09,1.81E+09,8.75E+08,1.07E+09,1.76E+09,1.69E+09,1.81E+09,1.50E+09,2.29E+09,1.44E+09,2.61E+09
TRUE,Empty,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=4,P20020,ATP2B1,135 kDa,TRUE,0.76,0.9,[],unknown,3.13E+08,1.28E+08,2.08E+08,3.82E+08,4.71E+08,2.68E+08,1.22E+08,1.62E+08,4.33E+08,3.82E+08,2.83E+08,4.66E+07,3.38E+08,5.52E+08,4.81E+08
TRUE,Empty,4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3,P49189,ALDH9A1,54 kDa,,0.056,0.6,[],unknown,1.02E+09,9.70E+08,9.21E+08,6.60E+08,4.97E+08,5.29E+08,6.89E+08,7.22E+08,3.11E+08,1.40E+08,3.19E+08,8.05E+08,8.09E+08,4.35E+08,4.45E+08
TRUE,Empty,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,P53985,SLC16A1,54 kDa,,0.5,0.9,[],unknown,1.68E+09,1.68E+09,1.59E+09,7.69E+08,1.70E+09,1.34E+09,1.20E+09,1.02E+09,1.63E+09,1.49E+09,6.48E+08,1.35E+09,1.60E+09,2.73E+09,2.58E+09
TRUE,Empty,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1",P55809,OXCT1,56 kDa,,0.98,1,[],unknown,7.85E+08,9.00E+08,7.01E+08,4.89E+08,6.39E+08,8.53E+08,6.32E+08,8.28E+08,4.02E+08,8.10E+08,3.44E+08,5.37E+08,6.82E+08,8.92E+08,4.17E+08
TRUE,Empty,Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3,P16152,CBR1,30 kDa,,0.071,1.9,[],unknown,2.72E+08,4.63E+08,4.45E+08,1.32E+08,7.76E+08,8.61E+08,2.90E+08,6.76E+08,1.10E+09,1.11E+09,6.40E+08,6.55E+08,1.09E+09,8.16E+08,9.90E+08
TRUE,Empty,Proteasome subunit alpha type-6 OS=Homo sapiens OX=9606 GN=PSMA6 PE=1 SV=1,P60900,PSMA6,27 kDa,,0.52,1.2,[],unknown,1.14E+09,1.00E+09,1.05E+09,1.33E+08,7.77E+08,1.01E+09,6.73E+08,1.35E+09,5.93E+08,1.28E+09,5.95E+08,4.15E+08,5.63E+08,7.17E+08,1.00E+09
TRUE,Empty,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,Q13242,SRSF9,26 kDa,TRUE,0.00083,19,"1st low, 2nd high",unknown,6.78E+07,1.09E+08,0,0,1.00E+08,3.50E+08,1.13E+09,1.51E+09,1.13E+09,1.11E+09,1.01E+09,1.11E+09,8.18E+08,7.80E+08,1.23E+09
TRUE,Empty,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,P09972,ALDOC,39 kDa,TRUE,0.45,1.5,[],unknown,3.47E+08,7.25E+08,0,0,1.22E+09,1.14E+09,1.81E+07,6.08E+08,1.10E+09,6.60E+08,0,2.53E+08,0,1.03E+09,6.42E+08
TRUE,Empty,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",P13646,KRT13,50 kDa,TRUE,0.62,0.5,[],unknown,2.83E+09,0,0,0,8.89E+08,0,0,0,1.98E+09,0,0,0,8.79E+08,0,0
TRUE,Empty,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1,Q16891,IMMT,84 kDa,,0.1,1.7,[],unknown,1.55E+08,2.50E+08,2.96E+08,3.08E+08,5.61E+08,4.02E+08,2.26E+08,6.39E+08,7.82E+08,6.09E+08,7.21E+08,3.50E+08,6.51E+08,6.74E+08,6.40E+08
TRUE,Empty,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,Q9UKM9,RALY,32 kDa,,0.25,0.8,[],unknown,7.60E+08,4.78E+08,5.15E+08,5.12E+08,5.43E+08,4.23E+08,6.31E+08,5.33E+08,4.33E+08,3.47E+08,1.22E+09,5.58E+08,1.00E+09,7.34E+08,1.66E+09
TRUE,Empty,Leukocyte elastase inhibitor OS=Homo sapiens OX=9606 GN=SERPINB1 PE=1 SV=1,P30740,SERPINB1,43 kDa,TRUE,0.56,0.8,[],unknown,6.79E+08,8.49E+08,1.32E+09,1.85E+08,1.38E+09,6.21E+08,2.52E+08,7.12E+08,8.66E+08,1.16E+09,1.82E+09,7.88E+08,1.10E+09,1.15E+09,1.23E+09
TRUE,Empty,NF-kappa-B-activating protein OS=Homo sapiens OX=9606 GN=NKAP PE=1 SV=1,Q8N5F7,NKAP,47 kDa,TRUE,0.14,1.2,[],unknown,1.47E+09,1.33E+09,6.38E+08,1.32E+09,1.52E+09,1.68E+09,1.21E+09,1.76E+09,1.72E+09,1.45E+09,1.18E+09,1.52E+09,1.21E+09,1.22E+09,5.31E+08
TRUE,Empty,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,Q96DI7,SNRNP40,39 kDa,,0.53,1.1,[],unknown,3.73E+08,7.51E+08,7.36E+08,2.16E+08,8.93E+08,7.29E+08,6.09E+08,6.19E+08,7.52E+08,6.84E+08,7.33E+08,3.57E+08,8.31E+08,1.32E+09,7.23E+08
TRUE,Empty,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,Q9BSJ8,ESYT1,123 kDa,TRUE,0.39,0.7,[],unknown,2.38E+08,4.59E+08,3.69E+08,1.50E+08,8.39E+08,2.74E+08,1.04E+08,2.13E+08,3.60E+08,4.86E+08,5.83E+08,3.65E+08,7.00E+08,5.30E+08,1.65E+08
TRUE,Empty,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,O95782,AP2A1,108 kDa,TRUE,0.31,1.4,[],unknown,2.52E+08,7.90E+07,2.07E+08,1.40E+08,3.61E+08,1.02E+08,2.24E+08,3.05E+08,3.99E+08,4.18E+08,5.40E+08,1.90E+08,6.21E+08,1.14E+09,3.88E+08
TRUE,Empty,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS PE=1 SV=2",P23381,WARS,53 kDa,,0.47,1.2,[],unknown,4.18E+08,5.10E+08,4.29E+08,1.38E+08,6.84E+08,6.82E+08,3.02E+08,5.83E+08,7.65E+08,3.35E+08,7.93E+08,5.55E+08,9.61E+08,6.48E+08,7.79E+08
TRUE,Empty,Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2,P37837,TALDO1,38 kDa,,0.0074,2,"1st low, 2nd high",unknown,3.68E+08,5.71E+08,3.76E+08,1.81E+08,7.84E+08,7.98E+08,9.51E+08,6.80E+08,1.09E+09,1.12E+09,6.19E+08,6.37E+08,5.30E+08,6.94E+08,1.25E+09
TRUE,Empty,Dynamin-2 OS=Homo sapiens OX=9606 GN=DNM2 PE=1 SV=2,P50570,DNM2,98 kDa,TRUE,0.49,0.8,[],unknown,2.26E+08,4.27E+08,3.00E+08,1.22E+08,3.31E+08,1.06E+08,1.28E+08,2.75E+08,2.94E+08,3.47E+08,6.06E+08,2.49E+08,3.99E+08,3.29E+08,3.85E+08
TRUE,Empty,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,Q03701,CEBPZ,121 kDa,,0.11,1.7,[],unknown,1.42E+08,1.60E+08,2.39E+08,2.97E+08,2.85E+08,4.17E+08,1.66E+08,2.31E+08,5.08E+08,6.08E+08,4.59E+08,1.92E+08,5.19E+08,4.95E+08,4.00E+08
