Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,A13: Area,B13: Area,C13: Area,D13: Area,E13: Area,F13: Area,G13: Area,H13: Area,I13: Area,J13: Area,K13: Area,L13: Area,M13: Area,N13: Area,O13: Area,Score A10,Coverage A10,# Peptides A10,# PSM A10,Score B10,Coverage B10,# Peptides B10,# PSM B10,Score C10,Coverage C10,# Peptides C10,# PSM C10,Score D10,Coverage D10,# Peptides D10,# PSM D10,Score E10,Coverage E10,# Peptides E10,# PSM E10,Score F10,Coverage F10,# Peptides F10,# PSM F10,Score G10,Coverage G10,# Peptides G10,# PSM G10,Score H10,Coverage H10,# Peptides H10,# PSM H10,Score I10,Coverage I10,# Peptides I10,# PSM I10,Score J10,Coverage J10,# Peptides J10,# PSM J10,Score K10,Coverage K10,# Peptides K10,# PSM K10,Score L10,Coverage L10,# Peptides L10,# PSM L10,Score M10,Coverage M10,# Peptides M10,# PSM M10,Score N10,Coverage N10,# Peptides N10,# PSM N10,Score O10,Coverage O10,# Peptides O10,# PSM O10,# AAs,MW [kDa],calc. pI
P07954,"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3 - [FUMH_HUMAN]",19.22,1,8,8,35,0.000E0,2.351E6,3.184E6,0.000E0,1.231E6,2.578E6,3.000E5,1.287E6,1.153E6,1.646E6,1.655E7,2.225E6,1.819E6,1.360E6,2.837E6,,,,,10.85 ,7.84,3,3,10.36 ,8.24,3,3,,,,,7.28 ,6.86,2,2,4.66 ,2.75,1,1,2.56 ,2.75,1,1,12.04 ,6.86,2,3,10.63 ,6.27,2,3,6.73 ,6.27,2,2,29.40 ,17.84,7,8,24.98 ,10.39,3,6,3.72 ,2.75,1,1,2.08 ,1.57,1,1,4.24 ,2.75,1,1,510,54.6,8.76
P36871,Phosphoglucomutase-1 OS=Homo sapiens OX=9606 GN=PGM1 PE=1 SV=3 - [PGM1_HUMAN],19.22,1,9,9,27,0.000E0,0.000E0,1.412E6,5.005E5,6.946E5,8.380E5,0.000E0,0.000E0,1.891E6,4.771E5,3.006E6,2.972E6,0.000E0,1.027E6,2.148E6,,,,,,,,,17.15 ,10.68,5,6,2.73 ,1.42,1,1,6.51 ,6.05,2,2,5.38 ,4.27,2,2,,,,,,,,,10.75 ,7.47,3,3,3.96 ,2.85,1,1,17.65 ,12.28,5,5,13.83 ,10.14,4,4,,,,,5.87 ,4.27,2,2,4.08 ,2.85,1,1,562,61.4,6.76
P38117,Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3 - [ETFB_HUMAN],19.22,1,4,4,6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,8.193E6,0.000E0,0.000E0,0.000E0,1.336E6,,,,,,,,,3.06 ,6.67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52 ,15.29,3,4,,,,,,,,,,,,,1.93 ,3.92,1,1,255,27.8,8.10
Q13247,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2 - [SRSF6_HUMAN],19.19,2,7,8,72,4.963E5,3.881E6,8.202E6,0.000E0,5.921E6,7.629E6,1.868E6,7.635E6,5.164E6,0.000E0,2.138E7,7.450E6,1.140E6,5.981E6,2.558E6,2.59 ,2.33,1,1,2.50 ,2.03,1,1,11.88 ,5.23,2,4,,,,,29.16 ,13.08,5,11,23.63 ,13.66,6,9,0.00 ,3.49,1,1,24.63 ,13.08,5,9,20.55 ,14.24,5,8,,,,,11.29 ,14.53,5,5,27.03 ,13.08,5,9,3.35 ,2.62,1,1,20.70 ,10.76,4,8,11.50 ,8.14,3,5,344,39.6,11.43
Q96IZ7,Serine/Arginine-related protein 53 OS=Homo sapiens OX=9606 GN=RSRC1 PE=1 SV=1 - [RSRC1_HUMAN],19.16,1,5,5,32,0.000E0,5.304E6,3.254E6,0.000E0,1.867E6,0.000E0,0.000E0,1.606E6,0.000E0,1.269E6,3.349E6,1.908E6,0.000E0,4.319E6,1.697E6,,,,,25.75 ,19.16,5,7,11.13 ,10.78,2,3,,,,,12.76 ,14.37,3,4,,,,,,,,,14.57 ,9.58,2,5,,,,,3.92 ,5.99,1,1,12.60 ,14.37,3,3,6.48 ,9.58,2,2,,,,,9.62 ,9.58,2,3,13.91 ,9.58,2,4,334,38.7,11.08
P09012,U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3 - [SNRPA_HUMAN],19.15,2,4,4,22,0.000E0,1.770E6,2.884E6,1.135E6,1.205E6,2.655E6,2.197E6,1.947E6,1.447E6,1.016E6,9.766E6,0.000E0,0.000E0,1.567E6,0.000E0,,,,,10.75 ,16.31,3,3,11.59 ,16.31,3,3,5.89 ,6.03,2,2,7.30 ,13.83,2,2,3.09 ,3.55,1,1,5.88 ,6.03,2,2,6.02 ,6.03,2,2,5.10 ,6.03,2,2,2.99 ,3.55,1,1,8.18 ,8.87,3,3,,,,,,,,,3.38 ,3.55,1,1,,,,,282,31.3,9.83
P50579,Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1 - [MAP2_HUMAN],19.04,1,6,6,64,6.110E5,2.825E6,1.816E6,1.839E6,1.856E6,1.489E6,3.122E6,1.895E6,3.221E6,4.050E5,5.846E6,5.556E5,2.767E6,1.907E6,2.720E6,10.51 ,2.72,1,5,26.35 ,11.30,3,8,14.07 ,6.49,2,4,11.03 ,2.72,1,4,6.25 ,2.72,1,2,5.76 ,2.72,1,3,13.21 ,7.53,2,4,12.17 ,2.72,1,4,8.85 ,2.72,1,3,10.03 ,2.72,1,3,24.15 ,7.95,3,6,12.97 ,5.44,2,4,17.41 ,7.32,2,5,9.52 ,2.72,1,4,14.47 ,7.32,2,5,478,52.9,5.82
Q8N5F7,NF-kappa-B-activating protein OS=Homo sapiens OX=9606 GN=NKAP PE=1 SV=1 - [NKAP_HUMAN],19.04,2,8,8,52,2.521E6,5.148E6,3.472E6,3.999E6,3.208E6,3.478E6,3.650E6,6.060E6,3.241E6,6.323E6,2.299E6,4.017E6,4.967E6,3.484E6,4.699E6,17.51 ,8.92,5,5,30.16 ,16.39,6,9,8.99 ,6.02,3,3,3.04 ,2.41,1,1,13.14 ,8.43,4,4,3.25 ,2.41,1,1,10.40 ,8.43,4,4,20.92 ,8.92,5,7,6.95 ,5.78,2,2,15.11 ,12.77,3,4,3.17 ,2.41,1,1,13.03 ,6.02,3,4,3.00 ,4.82,2,2,13.67 ,6.02,3,4,3.40 ,2.41,1,1,415,47.1,10.11
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=SLC9A3R1 PE=1 SV=4 - [NHRF1_HUMAN],18.99,1,4,4,8,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.358E6,0.000E0,0.000E0,9.150E6,1.015E6,0.000E0,1.348E6,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18 ,6.70,2,2,,,,,,,,,18.31 ,18.99,4,4,3.80 ,3.91,1,1,,,,,2.64 ,2.79,1,1,,,,,358,38.8,5.77
Q96K17,Transcription factor BTF3 homolog 4 OS=Homo sapiens OX=9606 GN=BTF3L4 PE=1 SV=1 - [BT3L4_HUMAN],18.99,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55 ,18.99,1,1,,,,,,,,,,,,,,,,,158,17.3,6.35
P40121,Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2 - [CAPG_HUMAN],18.97,1,6,6,32,0.000E0,1.355E6,1.019E6,8.917E5,4.302E5,1.305E6,2.029E6,1.316E6,5.026E5,5.279E5,7.826E6,0.000E0,8.631E5,7.309E5,5.664E5,,,,,13.62 ,11.78,4,4,2.54 ,2.87,1,1,7.36 ,6.90,2,2,5.83 ,6.32,2,2,5.48 ,5.46,2,2,2.68 ,3.45,1,1,7.18 ,6.90,2,2,6.78 ,6.32,2,2,3.99 ,3.45,1,1,21.48 ,16.95,5,6,2.78 ,3.45,1,1,8.31 ,9.77,3,3,10.38 ,9.77,3,3,6.02 ,6.32,2,2,348,38.5,6.19
Q13907,Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2 - [IDI1_HUMAN],18.94,1,3,3,11,0.000E0,7.983E5,1.098E6,0.000E0,0.000E0,0.000E0,1.092E6,0.000E0,1.160E6,0.000E0,7.059E5,1.517E6,7.239E5,3.903E5,0.000E0,,,,,3.60 ,5.29,1,1,2.96 ,5.29,1,1,,,,,3.01 ,5.29,1,1,,,,,2.57 ,5.29,1,1,,,,,6.39 ,5.29,1,2,,,,,2.84 ,4.85,1,1,6.64 ,14.10,2,2,2.83 ,5.29,1,1,3.09 ,5.29,1,1,,,,,227,26.3,6.34
O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1 - [KRT86_HUMAN]",18.93,4,5,9,17,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,2.794E6,0.000E0,5.925E6,2.370E6,0.000E0,2.633E7,0.000E0,0.000E0,4.296E5,4.115E6,,,,,,,,,,,,,,,,,,,,,13.16 ,4.94,3,5,,,,,2.13 ,1.44,1,1,12.98 ,9.47,4,4,,,,,14.45 ,9.26,5,5,,,,,,,,,3.84 ,2.26,1,1,2.13 ,1.44,1,1,486,53.5,5.66
P30043,Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3 - [BLVRB_HUMAN],18.93,1,2,2,2,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,3.914E6,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05 ,6.80,1,1,3.33 ,12.14,1,1,,,,,,,,,,,,,206,22.1,7.65
P46060,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1 - [RAGP1_HUMAN],18.91,1,8,8,32,0.000E0,9.650E5,2.466E6,1.304E6,5.388E5,2.670E6,1.349E6,3.653E5,1.520E6,0.000E0,7.279E6,1.130E6,0.000E0,0.000E0,2.099E6,,,,,3.86 ,2.04,1,1,13.64 ,10.22,3,3,3.61 ,2.04,1,1,3.58 ,2.73,1,1,13.25 ,7.67,4,4,10.53 ,4.77,2,3,3.62 ,2.73,1,1,12.01 ,4.77,2,3,,,,,16.55 ,8.52,4,4,14.25 ,6.47,3,4,4.38 ,2.73,1,1,,,,,22.90 ,8.01,4,6,587,63.5,4.68
Q9Y2Z0,Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3 - [SGT1_HUMAN],18.90,1,5,5,19,0.000E0,1.435E6,1.867E6,1.846E6,5.532E5,1.600E6,1.293E6,1.123E6,1.087E6,1.202E6,5.990E6,0.000E0,0.000E0,1.158E6,1.597E6,,,,,3.73 ,3.01,1,1,3.37 ,3.01,1,1,3.56 ,3.01,1,1,5.61 ,5.48,2,2,3.13 ,3.01,1,1,2.73 ,3.01,1,1,3.61 ,3.01,1,1,6.47 ,5.48,2,2,3.41 ,3.01,1,1,13.35 ,16.44,4,4,,,,,,,,,6.38 ,5.48,2,2,6.16 ,5.48,2,2,365,41.0,5.16
P60891,Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2 - [PRPS1_HUMAN],18.87,1,2,5,20,0.000E0,2.112E6,6.256E6,2.652E6,0.000E0,0.000E0,0.000E0,0.000E0,3.216E6,0.000E0,9.875E6,1.085E7,9.490E5,7.451E6,5.433E6,,,,,2.84 ,3.77,1,1,15.00 ,16.67,4,5,2.47 ,2.20,1,1,,,,,,,,,,,,,,,,,4.52 ,4.40,2,2,,,,,17.26 ,18.87,5,6,6.26 ,10.38,2,2,1.98 ,2.20,1,1,3.32 ,3.77,1,1,2.54 ,2.20,1,1,318,34.8,6.98
P09234,U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1 - [RU1C_HUMAN],18.87,1,2,2,4,0.000E0,9.354E5,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,6.383E6,0.000E0,0.000E0,0.000E0,0.000E0,,,,,8.03 ,18.87,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79 ,18.87,2,2,,,,,,,,,,,,,,,,,159,17.4,9.67
Q6RW13,Type-1 angiotensin II receptor-associated protein OS=Homo sapiens OX=9606 GN=AGTRAP PE=1 SV=1 - [ATRAP_HUMAN],18.87,1,2,2,4,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,1.226E6,2.495E6,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,8.016E5,,,,,,,,,2.73 ,13.84,1,1,,,,,,,,,2.36 ,5.03,1,1,2.49 ,5.03,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73 ,13.84,1,1,159,17.4,6.14
Q5VWG9,Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1 - [TAF3_HUMAN],18.84,1,17,17,112,2.447E6,1.177E7,1.667E7,4.170E6,7.757E6,8.128E6,2.591E6,1.085E7,9.090E6,2.366E6,2.835E6,1.064E7,6.150E6,8.745E6,1.042E7,10.02 ,3.98,4,4,37.55 ,14.75,13,14,44.42 ,15.29,14,15,2.37 ,1.08,1,1,26.04 ,8.07,7,8,23.49 ,8.72,8,8,10.77 ,3.98,4,4,34.73 ,12.27,11,12,22.95 ,8.07,7,8,4.79 ,1.83,2,2,3.51 ,1.29,1,1,28.47 ,7.64,7,10,14.36 ,4.95,5,5,29.35 ,7.43,7,10,29.14 ,9.80,9,10,929,103.5,9.06
P51114,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3 - [FXR1_HUMAN],18.84,1,7,9,21,0.000E0,1.438E6,1.722E6,0.000E0,2.176E5,0.000E0,3.533E6,1.749E6,1.675E6,0.000E0,6.818E6,2.708E6,0.000E0,3.237E6,0.000E0,,,,,10.14 ,7.73,3,3,10.78 ,5.64,2,3,,,,,2.65 ,2.09,1,1,,,,,2.77 ,1.29,1,1,3.33 ,2.09,1,1,5.65 ,3.38,2,2,,,,,21.06 ,12.56,5,5,8.12 ,5.15,3,3,,,,,5.59 ,4.35,2,2,,,,,621,69.7,6.15
P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1 - [RD23B_HUMAN],18.83,1,5,7,26,4.667E5,2.876E6,4.720E6,0.000E0,1.857E6,0.000E0,3.563E6,2.209E6,1.824E6,1.831E6,1.306E7,2.317E6,0.000E0,1.866E6,1.934E6,2.27 ,1.96,1,1,5.62 ,4.65,2,2,8.60 ,11.74,3,3,,,,,10.13 ,9.05,4,4,,,,,2.57 ,1.96,1,1,2.42 ,1.96,1,1,2.61 ,1.96,1,1,2.25 ,1.96,1,1,16.68 ,16.14,6,6,4.57 ,4.16,2,2,,,,,7.55 ,6.85,3,3,2.30 ,1.96,1,1,409,43.1,4.84
Q8NBS9,Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2 - [TXND5_HUMAN],18.75,1,7,7,32,9.487E5,3.537E6,0.000E0,2.604E6,2.134E6,3.977E6,2.833E6,2.919E6,3.441E6,8.510E5,1.818E7,0.000E0,1.424E6,2.303E6,1.595E6,2.49 ,2.31,1,1,16.27 ,12.73,5,5,2.64 ,7.41,2,2,10.00 ,8.10,3,3,8.07 ,6.02,2,2,6.65 ,4.40,2,2,8.50 ,8.10,3,3,6.86 ,4.40,2,2,3.52 ,2.31,1,1,3.19 ,2.08,1,1,25.30 ,16.67,6,7,,,,,2.79 ,2.08,1,1,2.05 ,2.08,1,1,3.01 ,2.08,1,1,432,47.6,5.97
P14678,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2 - [RSMB_HUMAN],18.75,2,5,5,39,0.000E0,2.559E6,5.877E6,7.739E6,4.877E5,6.603E6,1.728E6,1.144E6,4.272E6,8.321E5,9.164E6,5.903E6,5.571E6,2.505E6,5.338E6,,,,,4.14 ,6.25,1,1,16.30 ,15.83,4,5,3.79 ,6.25,1,1,7.72 ,6.25,1,2,18.59 ,9.58,2,5,4.67 ,6.25,1,1,7.56 ,6.25,1,2,10.58 ,9.17,2,3,7.70 ,6.25,1,2,12.28 ,15.83,4,5,21.54 ,9.17,2,5,4.61 ,6.25,1,1,7.25 ,6.25,1,2,16.02 ,9.17,2,4,240,24.6,11.19
P55769,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3 - [NH2L1_HUMAN],18.75,1,2,2,7,0.000E0,0.000E0,0.000E0,0.000E0,2.011E6,0.000E0,0.000E0,1.773E6,0.000E0,0.000E0,1.018E7,0.000E0,0.000E0,4.275E6,0.000E0,,,,,,,,,,,,,,,,,3.31 ,9.38,1,1,,,,,,,,,3.52 ,9.38,1,1,,,,,,,,,11.63 ,18.75,2,3,,,,,,,,,6.83 ,18.75,2,2,,,,,128,14.2,8.46
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3 - [C1TC_HUMAN]",18.72,1,16,16,69,0.000E0,2.325E6,5.057E6,9.111E5,1.402E6,1.419E6,1.577E6,5.004E5,9.450E5,1.766E6,1.045E7,2.843E6,1.926E6,6.734E5,3.448E6,,,,,8.59 ,3.10,2,2,36.47 ,13.26,10,11,2.90 ,1.18,1,1,3.51 ,1.39,1,1,14.62 ,4.60,4,5,10.08 ,4.81,4,4,5.28 ,2.14,2,2,16.41 ,6.63,4,5,12.38 ,3.32,3,4,46.70 ,13.26,11,13,20.41 ,5.67,5,7,17.09 ,5.67,5,6,16.46 ,7.70,5,5,8.63 ,2.25,2,3,935,101.5,7.30
Q99729,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2 - [ROAA_HUMAN],18.67,1,4,5,121,5.712E6,7.888E6,8.591E6,1.217E7,3.830E6,8.946E6,6.139E6,5.692E6,7.008E6,4.217E6,3.530E7,8.336E6,7.638E6,7.497E6,1.033E7,10.23 ,6.93,2,3,24.93 ,15.06,4,7,50.45 ,15.06,4,14,4.58 ,3.92,1,1,30.63 ,10.54,3,9,18.12 ,6.93,2,5,27.80 ,9.34,3,9,23.88 ,9.34,3,7,25.39 ,6.93,2,7,25.51 ,6.93,2,8,39.34 ,15.06,4,11,46.10 ,15.06,4,13,18.12 ,6.93,2,5,50.17 ,15.06,4,14,27.12 ,6.93,2,8,332,36.2,8.21
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHORDC1 PE=1 SV=2 - [CHRD1_HUMAN],18.67,1,4,4,8,0.000E0,2.090E6,0.000E0,9.324E5,0.000E0,0.000E0,9.188E5,3.206E5,0.000E0,0.000E0,2.814E6,0.000E0,1.180E6,0.000E0,6.987E5,,,,,5.57 ,8.73,2,2,,,,,3.57 ,5.42,1,1,,,,,,,,,2.99 ,5.42,1,1,2.68 ,5.42,1,1,,,,,,,,,0.00 ,4.52,1,1,,,,,4.23 ,5.42,1,1,,,,,2.71 ,5.42,1,1,332,37.5,7.87
P19012,"Keratin, type I cytoskeletal 15 OS=Homo sapiens OX=9606 GN=KRT15 PE=1 SV=3 - [K1C15_HUMAN]",18.64,3,1,11,246,1.498E8,8.487E7,1.069E8,8.224E8,1.874E8,3.412E8,1.826E8,1.728E8,1.656E8,1.499E8,3.196E8,2.858E8,2.672E8,1.530E8,2.210E8,37.57 ,9.65,5,12,17.13 ,9.65,5,5,35.49 ,7.02,4,13,35.88 ,13.60,7,12,67.34 ,12.06,7,23,79.86 ,10.09,6,24,47.77 ,9.65,5,16,52.17 ,11.84,6,17,49.45 ,9.65,5,17,53.78 ,13.60,7,18,48.11 ,16.45,10,17,44.27 ,7.02,4,16,48.47 ,9.65,5,17,80.49 ,15.57,8,27,33.91 ,11.62,6,12,456,49.2,4.77
P42696,RNA-binding protein 34 OS=Homo sapiens OX=9606 GN=RBM34 PE=1 SV=2 - [RBM34_HUMAN],18.60,1,8,8,54,1.202E6,1.625E6,2.078E6,2.679E6,8.214E5,1.388E6,2.432E6,8.758E5,1.641E6,2.763E6,1.385E6,2.754E6,1.827E6,1.171E6,1.366E6,12.04 ,9.53,4,4,15.70 ,11.63,5,5,15.16 ,13.49,6,6,13.20 ,9.77,4,4,5.17 ,3.72,2,2,5.17 ,4.19,2,2,12.63 ,9.77,4,4,5.13 ,4.19,2,2,14.09 ,11.86,5,5,10.94 ,9.53,4,4,4.15 ,3.02,1,1,12.55 ,9.53,4,4,11.25 ,9.53,4,4,9.57 ,7.67,3,3,10.89 ,9.53,4,4,430,48.5,10.11
Q9H3K6,BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1 - [BOLA2_HUMAN],18.60,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,7.930E6,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88 ,18.60,1,1,,,,,,,,,,,,,,,,,86,10.1,6.52
Q03252,Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4 - [LMNB2_HUMAN],18.39,1,9,12,48,2.863E6,3.744E6,5.941E6,2.977E6,6.256E6,4.970E6,8.148E6,3.934E6,6.170E6,6.597E6,1.592E7,9.272E6,3.473E6,5.681E6,4.147E6,3.18 ,1.29,1,1,14.05 ,5.97,4,4,15.81 ,8.71,5,5,5.86 ,3.06,3,3,2.87 ,1.29,1,1,9.44 ,5.16,3,3,3.24 ,1.29,1,1,5.53 ,1.45,2,2,6.00 ,1.45,2,2,2.72 ,1.29,1,1,25.69 ,13.55,9,9,6.58 ,1.45,2,2,5.15 ,2.90,2,2,21.86 ,10.16,7,7,14.03 ,7.74,5,5,620,69.9,5.59
Q9NQ29,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1 - [LUC7L_HUMAN],18.33,1,4,7,90,4.539E6,1.633E7,1.757E7,5.846E6,4.707E6,1.448E7,4.415E6,8.362E6,2.115E6,7.300E6,1.313E7,1.232E7,9.409E6,5.355E6,1.328E7,12.54 ,8.09,3,4,28.06 ,14.29,5,8,22.50 ,12.13,4,7,12.37 ,8.09,3,4,24.79 ,12.13,4,8,21.36 ,14.29,5,6,11.67 ,8.89,3,3,20.38 ,12.13,4,6,27.00 ,12.13,4,9,17.57 ,12.13,4,5,11.84 ,9.43,3,3,14.67 ,9.43,3,4,26.67 ,12.13,4,8,20.97 ,9.97,3,6,30.31 ,14.02,5,9,371,43.7,9.92
Q8N163,Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2 - [CCAR2_HUMAN],18.31,1,10,10,58,1.049E6,1.346E6,3.265E6,8.629E5,1.970E6,6.445E5,1.585E6,7.534E5,1.641E6,2.198E6,7.074E6,4.121E6,1.861E6,1.299E6,3.569E6,6.65 ,4.55,2,2,11.58 ,6.18,4,4,21.95 ,11.38,5,7,12.46 ,4.66,2,3,15.43 ,5.96,2,4,6.97 ,4.66,2,2,11.82 ,7.04,3,3,10.98 ,4.66,3,4,14.92 ,9.21,5,5,16.99 ,11.38,5,5,23.78 ,11.59,6,6,16.34 ,8.02,3,4,11.99 ,5.96,2,3,11.77 ,6.61,3,3,10.09 ,5.96,2,3,923,102.8,5.22
Q9UG63,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2 - [ABCF2_HUMAN],18.30,1,11,11,62,0.000E0,5.135E6,6.875E6,6.832E6,1.913E6,4.051E6,4.935E6,3.903E6,4.563E6,5.227E6,1.093E7,8.512E6,3.822E6,5.906E6,6.436E6,2.56 ,1.61,1,1,15.29 ,8.67,5,5,19.53 ,11.08,6,7,6.25 ,2.73,2,2,9.58 ,4.98,3,3,14.53 ,5.78,4,5,15.47 ,7.54,5,5,6.95 ,3.37,2,2,15.33 ,4.98,3,5,15.69 ,6.42,4,5,8.78 ,4.65,3,3,19.39 ,8.19,5,6,9.02 ,4.82,3,3,23.47 ,11.08,7,8,7.06 ,3.85,2,2,623,71.2,7.37
P53701,Cytochrome c-type heme lyase OS=Homo sapiens OX=9606 GN=HCCS PE=1 SV=1 - [CCHL_HUMAN],18.28,1,4,4,15,0.000E0,1.443E6,1.440E6,9.737E5,0.000E0,6.925E5,7.421E5,8.956E5,5.631E5,6.236E5,3.289E6,1.203E6,0.000E0,8.876E5,7.956E5,,,,,2.74 ,5.60,1,1,3.07 ,5.60,1,1,3.05 ,5.60,1,1,,,,,2.52 ,5.60,1,1,2.25 ,5.60,1,1,2.17 ,5.60,1,1,2.12 ,5.60,1,1,2.57 ,5.60,1,1,9.70 ,18.28,4,4,2.18 ,5.60,1,1,,,,,2.55 ,5.60,1,1,2.48 ,5.60,1,1,268,30.6,6.68
P20340,Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3 - [RAB6A_HUMAN],18.27,11,3,4,33,2.555E7,1.548E7,1.837E7,3.752E7,1.548E7,1.073E7,2.865E7,9.200E6,1.386E7,2.720E7,3.295E7,1.720E7,2.139E6,1.889E7,1.728E7,3.54 ,5.29,1,1,3.66 ,5.29,1,1,16.13 ,9.62,2,5,3.71 ,5.29,1,1,6.49 ,5.29,1,2,3.04 ,5.29,1,1,10.00 ,5.29,1,3,3.16 ,5.29,1,1,9.33 ,10.58,2,3,6.75 ,5.29,1,2,8.87 ,5.29,1,3,14.31 ,18.27,4,5,2.76 ,4.33,1,1,7.21 ,5.29,1,2,6.05 ,5.29,1,2,208,23.6,5.54
Q9H773,dCTP pyrophosphatase 1 OS=Homo sapiens OX=9606 GN=DCTPP1 PE=1 SV=1 - [DCTP1_HUMAN],18.24,1,1,1,1,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,0.000E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11 ,18.24,1,1,,,,,,,,,,,,,,,,,170,18.7,5.03
P08240,Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2 - [SRPRA_HUMAN],18.18,1,10,11,26,0.000E0,7.593E5,1.096E7,1.623E6,0.000E0,1.379E6,3.344E5,0.000E0,1.076E6,1.908E6,0.000E0,1.384E6,5.477E6,1.945E6,1.108E6,,,,,2.83 ,1.25,1,1,2.99 ,1.25,1,1,7.82 ,4.08,3,3,,,,,2.78 ,1.25,1,1,4.46 ,2.51,2,2,,,,,4.74 ,2.51,2,2,15.97 ,8.93,5,5,,,,,2.59 ,1.25,1,1,22.04 ,11.91,8,8,2.75 ,1.25,1,1,2.92 ,1.25,1,1,638,69.8,8.95
